MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/17/2026 15:19:37,1.17.3,FR1,73,4.16,nan,1,Left,Left,1,0,0,0,nan,nan,0.21
4/17/2026 15:27:41,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.30
4/17/2026 15:31:39,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.07
4/17/2026 15:31:40,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,0.02
4/17/2026 15:37:24,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,4,1,0,0,nan,nan,0.56
4/17/2026 15:48:17,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,5,1,0,0,nan,nan,0.09
4/17/2026 16:02:49,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,6,1,0,0,nan,nan,0.05
4/17/2026 16:07:28,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,6,2,0,0,nan,nan,0.15
4/17/2026 16:07:35,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,7,2,0,0,nan,nan,0.05
4/17/2026 16:07:37,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,8,2,0,0,nan,nan,0.04
4/17/2026 16:11:11,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,3,0,0,nan,nan,0.12
4/17/2026 16:11:17,1.17.3,FR1,73,4.17,nan,1,RightWithPellet,Left,8,4,0,0,nan,nan,0.17
4/17/2026 17:20:24,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,5,0,0,nan,nan,0.17
4/17/2026 17:20:41,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,6,0,0,nan,nan,0.18
4/17/2026 17:20:45,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,7,0,0,nan,nan,0.07
4/17/2026 17:20:46,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,8,0,0,nan,nan,0.04
4/17/2026 17:20:50,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,8,9,0,0,nan,nan,0.02
4/17/2026 17:20:53,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,9,9,0,0,nan,nan,0.02
4/17/2026 17:21:47,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,10,9,0,0,nan,nan,0.21
4/17/2026 17:21:50,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,10,10,0,0,nan,nan,1.06
4/17/2026 17:24:21,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,10,11,0,0,nan,nan,0.03
4/17/2026 17:24:22,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,10,12,0,0,nan,nan,0.31
4/17/2026 17:54:22,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,11,12,0,0,nan,nan,0.07
4/17/2026 18:15:40,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,12,12,0,0,nan,nan,0.09
4/17/2026 18:45:40,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,13,12,0,0,nan,nan,0.02
4/17/2026 18:45:47,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,14,12,0,0,nan,nan,0.13
4/17/2026 18:46:04,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,15,12,0,0,nan,nan,0.25
4/17/2026 18:46:05,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,16,12,0,0,nan,nan,0.03
4/17/2026 18:54:51,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,16,13,0,0,nan,nan,0.63
4/17/2026 18:54:53,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,16,14,0,0,nan,nan,0.59
4/17/2026 19:05:00,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,16,15,0,0,nan,nan,0.19
4/17/2026 19:11:47,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,17,15,0,0,nan,nan,0.08
4/17/2026 19:19:36,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,18,15,0,0,nan,nan,0.46
4/17/2026 19:19:37,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,18,16,0,0,nan,nan,0.41
4/17/2026 19:19:38,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,18,17,0,0,nan,nan,0.16
4/17/2026 19:21:28,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,18,18,0,0,nan,nan,0.02
4/17/2026 19:25:41,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,19,18,0,0,nan,nan,0.37
4/17/2026 19:39:47,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,20,18,0,0,nan,nan,0.09
4/17/2026 19:42:16,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,21,18,0,0,nan,nan,0.78
4/17/2026 19:43:40,1.17.3,FR1,73,4.16,nan,1,LeftWithPellet,Left,22,18,0,0,nan,nan,0.68
4/17/2026 19:43:47,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,23,18,0,0,nan,nan,0.52
4/17/2026 19:50:52,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,23,19,0,0,nan,nan,0.40
4/17/2026 19:52:04,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,24,19,0,0,nan,nan,0.11
4/17/2026 19:55:21,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,25,19,0,0,nan,nan,0.40
4/17/2026 20:04:10,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,25,20,0,0,nan,nan,0.30
4/17/2026 20:10:18,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,26,20,0,0,nan,nan,0.27
4/17/2026 20:13:00,1.17.3,FR1,73,4.16,nan,1,RightWithPellet,Left,26,21,0,0,nan,nan,0.61
4/17/2026 20:26:10,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,27,21,0,0,nan,nan,0.53
4/17/2026 20:42:19,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,28,21,0,0,nan,nan,0.15
4/17/2026 20:42:31,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,28,22,0,0,nan,nan,0.15
4/17/2026 20:42:44,1.17.3,FR1,73,4.15,3,1,Pellet,Left,28,22,1,0,Timed_out,nan,nan
4/17/2026 20:44:36,1.17.3,FR1,73,4.15,nan,1,Right,Left,28,23,1,0,nan,nan,0.27
4/17/2026 20:44:42,1.17.3,FR1,73,4.14,nan,1,Right,Left,28,24,1,0,nan,nan,0.56
4/17/2026 20:44:51,1.17.3,FR1,73,4.15,nan,1,Right,Left,28,25,1,0,nan,nan,0.49
4/17/2026 20:44:53,1.17.3,FR1,73,4.15,nan,1,Left,Left,29,25,1,0,nan,nan,0.40
4/17/2026 20:44:56,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,30,25,1,0,nan,nan,0.04
4/17/2026 20:45:02,1.17.3,FR1,73,4.15,1,1,Pellet,Left,30,25,2,0,8.58,138,nan
4/17/2026 20:45:48,1.17.3,FR1,73,4.15,nan,1,Left,Left,31,25,2,0,nan,nan,0.54
4/17/2026 20:45:51,1.17.3,FR1,73,4.14,1,1,Pellet,Left,31,25,3,0,2.33,49,nan
4/17/2026 20:46:37,1.17.3,FR1,73,4.15,nan,1,Left,Left,32,25,3,0,nan,nan,0.39
4/17/2026 20:46:40,1.17.3,FR1,73,4.14,1,1,Pellet,Left,32,25,4,0,2.33,49,nan
4/17/2026 20:46:56,1.17.3,FR1,73,4.15,nan,1,Left,Left,33,25,4,0,nan,nan,0.02
4/17/2026 20:47:00,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,34,25,4,0,nan,nan,0.33
4/17/2026 20:47:02,1.17.3,FR1,73,4.15,1,1,Pellet,Left,34,25,5,0,5.16,22,nan
4/17/2026 20:47:37,1.17.3,FR1,73,4.14,nan,1,Right,Left,34,26,5,0,nan,nan,0.06
4/17/2026 20:47:38,1.17.3,FR1,73,4.15,nan,1,Right,Left,34,27,5,0,nan,nan,0.00
4/17/2026 20:47:40,1.17.3,FR1,73,4.15,nan,1,Right,Left,34,28,5,0,nan,nan,0.80
4/17/2026 20:48:35,1.17.3,FR1,73,4.15,nan,1,Right,Left,34,29,5,0,nan,nan,0.50
4/17/2026 20:48:42,1.17.3,FR1,73,4.14,nan,1,Left,Left,35,29,5,0,nan,nan,0.73
4/17/2026 20:48:43,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,36,29,5,0,nan,nan,1.04
4/17/2026 20:48:47,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,37,29,5,0,nan,nan,1.09
4/17/2026 20:48:50,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,38,29,5,0,nan,nan,0.92
4/17/2026 20:48:58,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,39,29,5,0,nan,nan,0.55
4/17/2026 20:48:59,1.17.3,FR1,73,4.15,5,1,Pellet,Left,39,29,6,0,5.67,117,nan
4/17/2026 20:49:19,1.17.3,FR1,73,4.15,nan,1,Right,Left,39,30,6,0,nan,nan,0.21
4/17/2026 20:54:15,1.17.3,FR1,73,4.15,nan,1,Right,Left,39,31,6,0,nan,nan,0.33
4/17/2026 20:56:55,1.17.3,FR1,73,4.15,nan,1,Left,Left,40,31,6,0,nan,nan,0.28
4/17/2026 20:56:59,1.17.3,FR1,73,4.15,1,1,Pellet,Left,40,31,7,0,3.11,480,nan
4/17/2026 20:57:24,1.17.3,FR1,73,4.14,nan,1,Right,Left,40,32,7,0,nan,nan,0.02
4/17/2026 20:57:26,1.17.3,FR1,73,4.15,nan,1,Right,Left,40,33,7,0,nan,nan,0.25
4/17/2026 20:57:48,1.17.3,FR1,73,4.15,nan,1,Left,Left,41,33,7,0,nan,nan,0.59
4/17/2026 20:57:53,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,41,34,7,0,nan,nan,0.53
4/17/2026 20:57:58,1.17.3,FR1,73,4.14,1,1,Pellet,Left,41,34,8,0,9.67,59,nan
4/17/2026 21:00:15,1.17.3,FR1,73,4.14,nan,1,Left,Left,42,34,8,0,nan,nan,0.31
4/17/2026 21:00:16,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,43,34,8,0,nan,nan,0.34
4/17/2026 21:00:21,1.17.3,FR1,73,4.15,2,1,Pellet,Left,43,34,9,0,2.32,143,nan
4/17/2026 21:00:28,1.17.3,FR1,73,4.15,nan,1,Left,Left,44,34,9,0,nan,nan,0.29
4/17/2026 21:00:31,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,44,35,9,0,nan,nan,0.19
4/17/2026 21:00:35,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,44,36,9,0,nan,nan,0.46
4/17/2026 21:00:36,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,44,37,9,0,nan,nan,0.27
4/17/2026 21:00:38,1.17.3,FR1,73,4.15,1,1,Pellet,Left,44,37,10,0,9.89,17,nan
4/17/2026 21:01:07,1.17.3,FR1,73,4.14,nan,1,Right,Left,44,38,10,0,nan,nan,0.10
4/17/2026 21:02:19,1.17.3,FR1,73,4.15,nan,1,Left,Left,45,38,10,0,nan,nan,0.02
4/17/2026 21:03:44,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,46,38,10,0,nan,nan,0.29
4/17/2026 21:04:11,1.17.3,FR1,73,4.15,1,1,Pellet,Left,46,38,11,0,Timed_out,213,nan
4/17/2026 21:04:54,1.17.3,FR1,73,4.14,nan,1,Right,Left,46,39,11,0,nan,nan,0.10
4/17/2026 21:04:56,1.17.3,FR1,73,4.15,nan,1,Right,Left,46,40,11,0,nan,nan,0.22
4/17/2026 21:07:46,1.17.3,FR1,73,4.14,nan,1,Right,Left,46,41,11,0,nan,nan,0.02
4/17/2026 21:30:36,1.17.3,FR1,73,4.14,nan,1,Left,Left,47,41,11,0,nan,nan,0.04
4/17/2026 21:30:36,1.17.3,FR1,73,4.14,nan,1,LeftDuringDispense,Left,48,41,11,0,nan,nan,0.18
4/17/2026 21:30:48,1.17.3,FR1,73,4.14,3,1,Pellet,Left,48,41,12,0,6.45,1597,nan
4/17/2026 21:30:53,1.17.3,FR1,73,4.14,nan,1,Left,Left,49,41,12,0,nan,nan,0.27
4/17/2026 21:33:21,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,50,41,12,0,nan,nan,0.64
4/17/2026 21:33:23,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,51,41,12,0,nan,nan,0.49
4/17/2026 21:33:24,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,52,41,12,0,nan,nan,0.03
4/17/2026 21:33:37,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,53,41,12,0,nan,nan,0.36
4/17/2026 21:33:39,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,54,41,12,0,nan,nan,0.28
4/17/2026 21:33:43,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,55,41,12,0,nan,nan,0.21
4/17/2026 21:33:49,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,55,42,12,0,nan,nan,0.47
4/17/2026 21:36:34,1.17.3,FR1,73,4.14,1,1,Pellet,Left,55,42,13,0,Timed_out,346,nan
4/17/2026 21:36:37,1.17.3,FR1,73,4.15,nan,1,Right,Left,55,43,13,0,nan,nan,0.06
4/17/2026 21:36:39,1.17.3,FR1,73,4.14,nan,1,Right,Left,55,44,13,0,nan,nan,0.45
4/17/2026 21:39:13,1.17.3,FR1,73,4.14,nan,1,Right,Left,55,45,13,0,nan,nan,1.12
4/17/2026 21:39:14,1.17.3,FR1,73,4.14,nan,1,Right,Left,55,46,13,0,nan,nan,0.00
4/17/2026 21:39:17,1.17.3,FR1,73,4.14,nan,1,Right,Left,55,47,13,0,nan,nan,0.20
4/17/2026 21:39:23,1.17.3,FR1,73,4.15,nan,1,Left,Left,56,47,13,0,nan,nan,0.07
4/17/2026 21:39:23,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,57,47,13,0,nan,nan,0.12
4/17/2026 21:39:27,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,58,47,13,0,nan,nan,0.87
4/17/2026 21:39:28,1.17.3,FR1,73,4.14,nan,1,LeftDuringDispense,Left,59,47,13,0,nan,nan,0.68
4/17/2026 21:39:28,1.17.3,FR1,73,4.15,nan,1,LeftDuringDispense,Left,60,47,13,0,nan,nan,0.27
4/17/2026 21:39:34,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,61,47,13,0,nan,nan,0.02
4/17/2026 21:39:37,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,62,47,13,0,nan,nan,0.21
4/17/2026 21:39:42,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,63,47,13,0,nan,nan,0.91
4/17/2026 21:39:54,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,63,48,13,0,nan,nan,0.53
4/17/2026 21:39:54,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,63,49,13,0,nan,nan,0.21
4/17/2026 21:39:59,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,64,49,13,0,nan,nan,0.24
4/17/2026 21:40:05,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,65,49,13,0,nan,nan,0.76
4/17/2026 21:40:06,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,66,49,13,0,nan,nan,0.66
4/17/2026 21:40:07,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,67,49,13,0,nan,nan,0.26
4/17/2026 21:40:14,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,68,49,13,0,nan,nan,1.33
4/17/2026 21:40:14,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,69,49,13,0,nan,nan,0.35
4/17/2026 21:40:15,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,70,49,13,0,nan,nan,0.02
4/17/2026 21:40:15,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,71,49,13,0,nan,nan,0.17
4/17/2026 21:40:17,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,72,49,13,0,nan,nan,1.04
4/17/2026 21:40:18,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,73,49,13,0,nan,nan,0.24
4/17/2026 21:40:19,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,74,49,13,0,nan,nan,0.32
4/17/2026 21:40:19,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,75,49,13,0,nan,nan,0.35
4/17/2026 21:40:21,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,76,49,13,0,nan,nan,0.89
4/17/2026 21:40:22,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,77,49,13,0,nan,nan,0.41
4/17/2026 21:40:25,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,78,49,13,0,nan,nan,0.75
4/17/2026 21:40:26,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,79,49,13,0,nan,nan,1.01
4/17/2026 21:40:27,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,80,49,13,0,nan,nan,0.67
4/17/2026 21:40:31,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,81,49,13,0,nan,nan,0.49
4/17/2026 21:40:32,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,82,49,13,0,nan,nan,0.40
4/17/2026 21:40:33,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,83,49,13,0,nan,nan,0.49
4/17/2026 21:40:38,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,84,49,13,0,nan,nan,0.76
4/17/2026 21:42:03,1.17.3,FR1,73,4.15,nan,1,RightWithPellet,Left,84,50,13,0,nan,nan,0.50
4/17/2026 21:42:13,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,85,50,13,0,nan,nan,0.14
4/17/2026 21:42:15,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,86,50,13,0,nan,nan,0.76
4/17/2026 21:42:18,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,87,50,13,0,nan,nan,1.12
4/17/2026 21:42:22,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,88,50,13,0,nan,nan,0.77
4/17/2026 21:42:25,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,89,50,13,0,nan,nan,0.56
4/17/2026 21:42:29,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,90,50,13,0,nan,nan,0.39
4/17/2026 21:42:32,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,91,50,13,0,nan,nan,0.03
4/17/2026 21:42:34,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,92,50,13,0,nan,nan,0.68
4/17/2026 21:42:35,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,93,50,13,0,nan,nan,0.12
4/17/2026 21:43:33,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,94,50,13,0,nan,nan,0.03
4/17/2026 21:43:57,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,95,50,13,0,nan,nan,0.25
4/17/2026 21:46:51,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,96,50,13,0,nan,nan,0.40
4/17/2026 21:46:56,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,97,50,13,0,nan,nan,0.06
4/17/2026 21:51:01,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,97,51,13,0,nan,nan,0.28
4/17/2026 21:53:29,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,98,51,13,0,nan,nan,0.52
4/17/2026 21:53:30,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,99,51,13,0,nan,nan,0.40
4/17/2026 21:55:39,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,100,51,13,0,nan,nan,0.02
4/17/2026 21:55:39,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,101,51,13,0,nan,nan,0.11
4/17/2026 21:56:54,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,101,52,13,0,nan,nan,0.05
4/17/2026 22:06:57,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,101,53,13,0,nan,nan,0.60
4/17/2026 22:09:29,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,102,53,13,0,nan,nan,0.52
4/17/2026 22:14:00,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,102,54,13,0,nan,nan,0.19
4/17/2026 22:14:02,1.17.3,FR1,73,4.15,nan,1,LeftWithPellet,Left,103,54,13,0,nan,nan,0.02
4/17/2026 22:19:34,1.17.3,FR1,73,4.14,3,1,Pellet,Left,103,54,14,0,Timed_out,2580,nan
4/17/2026 22:19:48,1.17.3,FR1,73,4.14,nan,1,Right,Left,103,55,14,0,nan,nan,0.13
4/17/2026 22:30:48,1.17.3,FR1,73,4.14,nan,1,Left,Left,104,55,14,0,nan,nan,0.02
4/17/2026 22:30:49,1.17.3,FR1,73,4.14,nan,1,LeftDuringDispense,Left,105,55,14,0,nan,nan,0.79
4/17/2026 22:30:58,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,105,56,14,0,nan,nan,0.39
4/17/2026 22:31:05,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,106,56,14,0,nan,nan,0.45
4/17/2026 22:34:25,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,107,56,14,0,nan,nan,0.59
4/17/2026 22:34:27,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,108,56,14,0,nan,nan,0.05
4/17/2026 22:47:14,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,109,56,14,0,nan,nan,0.05
4/17/2026 22:47:15,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,110,56,14,0,nan,nan,0.44
4/17/2026 22:47:16,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,111,56,14,0,nan,nan,0.22
4/17/2026 22:47:26,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,112,56,14,0,nan,nan,0.28
4/17/2026 23:05:10,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,113,56,14,0,nan,nan,0.41
4/17/2026 23:05:17,1.17.3,FR1,73,4.14,2,1,Pellet,Left,113,56,15,0,Timed_out,2743,nan
4/17/2026 23:05:21,1.17.3,FR1,73,4.14,nan,1,Right,Left,113,57,15,0,nan,nan,0.48
4/17/2026 23:05:24,1.17.3,FR1,73,4.14,nan,1,Left,Left,114,57,15,0,nan,nan,0.05
4/17/2026 23:05:25,1.17.3,FR1,73,4.14,nan,1,LeftDuringDispense,Left,115,57,15,0,nan,nan,0.16
4/17/2026 23:05:30,1.17.3,FR1,73,4.14,2,1,Pellet,Left,115,57,16,0,2.57,13,nan
4/17/2026 23:05:35,1.17.3,FR1,73,4.14,nan,1,Left,Left,116,57,16,0,nan,nan,0.03
4/17/2026 23:05:35,1.17.3,FR1,73,4.14,nan,1,LeftDuringDispense,Left,117,57,16,0,nan,nan,0.06
4/17/2026 23:05:41,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,117,58,16,0,nan,nan,0.32
4/17/2026 23:18:28,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,117,59,16,0,nan,nan,0.09
4/17/2026 23:24:34,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,118,59,16,0,nan,nan,0.38
4/17/2026 23:24:35,1.17.3,FR1,73,4.14,2,1,Pellet,Left,118,59,17,0,Timed_out,1145,nan
4/17/2026 23:25:53,1.17.3,FR1,73,4.14,nan,1,Left,Left,119,59,17,0,nan,nan,0.00
4/17/2026 23:53:19,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,120,59,17,0,nan,nan,0.20
4/17/2026 23:58:31,1.17.3,FR1,73,4.14,1,1,Pellet,Left,120,59,18,0,Timed_out,2036,nan
4/17/2026 23:59:27,1.17.3,FR1,73,4.14,nan,1,Right,Left,120,60,18,0,nan,nan,0.38
4/17/2026 23:59:30,1.17.3,FR1,73,4.14,nan,1,Left,Left,121,60,18,0,nan,nan,0.36
4/17/2026 23:59:38,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,121,61,18,0,nan,nan,0.17
4/17/2026 23:59:47,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,121,62,18,0,nan,nan,0.45
4/17/2026 23:59:54,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,122,62,18,0,nan,nan,0.25
4/17/2026 23:59:58,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,123,62,18,0,nan,nan,1.19
4/18/2026 0:00:01,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,124,62,18,0,nan,nan,0.31
4/18/2026 0:00:04,1.17.3,FR1,73,4.14,1,1,Pellet,Left,124,62,19,0,32.98,93,nan
4/18/2026 0:00:08,1.17.3,FR1,73,4.14,nan,1,Right,Left,124,63,19,0,nan,nan,0.45
4/18/2026 0:00:12,1.17.3,FR1,73,4.14,nan,1,Left,Left,125,63,19,0,nan,nan,0.29
4/18/2026 0:09:46,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,126,63,19,0,nan,nan,0.09
4/18/2026 0:21:45,1.17.3,FR1,73,4.14,1,1,Pellet,Left,126,63,20,0,Timed_out,1301,nan
4/18/2026 0:23:53,1.17.3,FR1,73,4.14,nan,1,Left,Left,127,63,20,0,nan,nan,0.22
4/18/2026 0:24:00,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,128,63,20,0,nan,nan,0.23
4/18/2026 0:24:32,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,128,64,20,0,nan,nan,0.11
4/18/2026 0:24:36,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,129,64,20,0,nan,nan,0.31
4/18/2026 0:24:37,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,130,64,20,0,nan,nan,0.05
4/18/2026 0:24:37,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,131,64,20,0,nan,nan,0.21
4/18/2026 0:30:21,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,132,64,20,0,nan,nan,0.31
4/18/2026 0:36:37,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,133,64,20,0,nan,nan,0.10
4/18/2026 0:39:55,1.17.3,FR1,73,4.14,1,1,Pellet,Left,133,64,21,0,Timed_out,1090,nan
4/18/2026 0:48:57,1.17.3,FR1,73,4.13,nan,1,Right,Left,133,65,21,0,nan,nan,0.37
4/18/2026 0:53:44,1.17.3,FR1,73,4.14,nan,1,Left,Left,134,65,21,0,nan,nan,0.02
4/18/2026 0:53:46,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,135,65,21,0,nan,nan,0.15
4/18/2026 0:53:51,1.17.3,FR1,73,4.14,nan,1,LeftWithPellet,Left,136,65,21,0,nan,nan,0.02
4/18/2026 0:53:55,1.17.3,FR1,73,4.14,nan,1,RightWithPellet,Left,136,66,21,0,nan,nan,0.01
