MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/20/2026 13:28:39,1.17.3,FR1,0,4.15,nan,1,Left,Left,1,0,0,0,nan,nan,0.39
7/20/2026 15:29:24,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.53
7/20/2026 15:29:27,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.44
7/20/2026 15:31:36,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.19
7/20/2026 15:35:13,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.39
7/20/2026 15:36:02,1.17.3,FR1,0,4.14,1,1,Pellet,Left,4,1,1,0,Timed_out,nan,nan
7/20/2026 15:36:10,1.17.3,FR1,0,4.14,nan,1,Right,Left,4,2,1,0,nan,nan,0.01
7/20/2026 15:36:11,1.17.3,FR1,0,4.14,nan,1,Right,Left,4,3,1,0,nan,nan,0.00
7/20/2026 15:36:35,1.17.3,FR1,0,4.14,nan,1,Right,Left,4,4,1,0,nan,nan,0.23
7/20/2026 15:37:00,1.17.3,FR1,0,4.14,nan,1,Left,Left,5,4,1,0,nan,nan,0.19
7/20/2026 15:37:09,1.17.3,FR1,0,4.14,3,1,Pellet,Left,5,4,2,0,4.72,67,nan
7/20/2026 15:40:49,1.17.3,FR1,0,4.14,nan,1,Left,Left,6,4,2,0,nan,nan,0.14
7/20/2026 15:44:01,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,6,5,2,0,nan,nan,0.14
7/20/2026 15:44:02,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,7,5,2,0,nan,nan,0.44
7/20/2026 15:45:52,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,7,6,2,0,nan,nan,0.52
7/20/2026 15:46:08,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,7,7,2,0,nan,nan,0.34
7/20/2026 15:48:24,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,8,7,2,0,nan,nan,0.14
7/20/2026 15:50:32,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,8,8,2,0,nan,nan,0.10
7/20/2026 15:51:05,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,8,9,2,0,nan,nan,0.21
7/20/2026 15:53:18,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,8,10,2,0,nan,nan,0.13
7/20/2026 15:53:20,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,8,11,2,0,nan,nan,0.14
7/20/2026 15:57:22,1.17.3,FR1,0,4.14,1,1,Pellet,Left,8,11,3,0,Timed_out,1213,nan
7/20/2026 15:57:38,1.17.3,FR1,0,4.14,nan,1,Left,Left,9,11,3,0,nan,nan,0.23
7/20/2026 15:57:39,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,10,11,3,0,nan,nan,0.09
7/20/2026 15:57:42,1.17.3,FR1,0,4.14,1,1,Pellet,Left,10,11,4,0,3.11,20,nan
7/20/2026 15:58:42,1.17.3,FR1,0,4.14,nan,1,Left,Left,11,11,4,0,nan,nan,0.12
7/20/2026 16:02:44,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,11,12,4,0,nan,nan,0.60
7/20/2026 16:05:31,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,12,12,4,0,nan,nan,0.11
7/20/2026 16:05:33,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,13,12,4,0,nan,nan,0.95
7/20/2026 16:05:35,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,14,12,4,0,nan,nan,0.11
7/20/2026 16:05:36,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,15,12,4,0,nan,nan,0.13
7/20/2026 16:05:43,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,16,12,4,0,nan,nan,0.03
7/20/2026 16:05:46,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,17,12,4,0,nan,nan,0.17
7/20/2026 16:13:53,1.17.3,FR1,0,4.14,1,1,Pellet,Left,17,12,5,0,Timed_out,971,nan
7/20/2026 16:15:30,1.17.3,FR1,0,4.14,nan,1,Right,Left,17,13,5,0,nan,nan,0.03
7/20/2026 16:19:26,1.17.3,FR1,0,4.14,nan,1,Left,Left,18,13,5,0,nan,nan,0.12
7/20/2026 16:19:30,1.17.3,FR1,0,4.14,1,1,Pellet,Left,18,13,6,0,3.04,337,nan
7/20/2026 16:28:55,1.17.3,FR1,0,4.14,nan,1,Left,Left,19,13,6,0,nan,nan,0.01
7/20/2026 16:29:15,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,19,14,6,0,nan,nan,0.04
7/20/2026 16:29:16,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,19,15,6,0,nan,nan,1.42
7/20/2026 16:29:18,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,19,16,6,0,nan,nan,0.22
7/20/2026 16:29:19,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,19,17,6,0,nan,nan,0.20
7/20/2026 16:29:24,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,20,17,6,0,nan,nan,0.15
7/20/2026 16:29:27,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,21,17,6,0,nan,nan,0.52
7/20/2026 16:29:55,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,22,17,6,0,nan,nan,0.09
7/20/2026 16:35:45,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,23,17,6,0,nan,nan,0.59
7/20/2026 16:41:07,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,24,17,6,0,nan,nan,0.07
7/20/2026 16:41:08,1.17.3,FR1,0,4.14,1,1,Pellet,Left,24,17,7,0,Timed_out,1298,nan
7/20/2026 17:31:03,1.17.3,FR1,0,4.13,nan,1,Right,Left,24,18,7,0,nan,nan,0.51
7/20/2026 17:45:29,1.17.3,FR1,0,4.14,nan,1,Right,Left,24,19,7,0,nan,nan,0.11
7/20/2026 17:46:57,1.17.3,FR1,0,4.14,nan,1,Left,Left,25,19,7,0,nan,nan,0.02
7/20/2026 17:46:59,1.17.3,FR1,0,4.13,1,1,Pellet,Left,25,19,8,0,1.19,3951,nan
7/20/2026 17:47:25,1.17.3,FR1,0,4.13,nan,1,Left,Left,26,19,8,0,nan,nan,0.19
7/20/2026 17:53:31,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,27,19,8,0,nan,nan,0.55
7/20/2026 17:54:06,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,28,19,8,0,nan,nan,0.03
7/20/2026 18:24:17,1.17.3,FR1,0,4.14,1,1,Pellet,Left,28,19,9,0,Timed_out,2238,nan
7/20/2026 18:24:22,1.17.3,FR1,0,4.14,nan,1,Left,Left,29,19,9,0,nan,nan,0.04
7/20/2026 18:24:23,1.17.3,FR1,0,4.14,nan,1,LeftDuringDispense,Left,30,19,9,0,nan,nan,0.09
7/20/2026 18:24:30,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,31,19,9,0,nan,nan,0.70
7/20/2026 18:25:49,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,31,20,9,0,nan,nan,0.41
7/20/2026 18:31:21,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,31,21,9,0,nan,nan,0.09
7/20/2026 18:46:30,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,32,21,9,0,nan,nan,0.17
7/20/2026 18:46:31,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,33,21,9,0,nan,nan,0.09
7/20/2026 18:57:19,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,33,22,9,0,nan,nan,0.17
7/20/2026 19:03:17,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,33,23,9,0,nan,nan,0.09
7/20/2026 19:03:24,1.17.3,FR1,0,4.14,2,1,Pellet,Left,33,23,10,0,Timed_out,2347,nan
7/20/2026 19:03:37,1.17.3,FR1,0,4.14,nan,1,Right,Left,33,24,10,0,nan,nan,0.21
7/20/2026 19:04:00,1.17.3,FR1,0,4.13,nan,1,Left,Left,34,24,10,0,nan,nan,0.14
7/20/2026 19:04:08,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,35,24,10,0,nan,nan,0.05
7/20/2026 19:04:22,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,36,24,10,0,nan,nan,0.20
7/20/2026 19:04:23,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,37,24,10,0,nan,nan,1.12
7/20/2026 19:04:31,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,38,24,10,0,nan,nan,0.80
7/20/2026 19:04:34,1.17.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,39,24,10,0,nan,nan,0.10
7/20/2026 19:06:09,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,39,25,10,0,nan,nan,0.08
7/20/2026 19:06:11,1.17.3,FR1,0,4.14,1,1,Pellet,Left,39,25,11,0,Timed_out,167,nan
7/20/2026 19:06:21,1.17.3,FR1,0,4.13,nan,1,Left,Left,40,25,11,0,nan,nan,0.42
7/20/2026 19:06:56,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,41,25,11,0,nan,nan,0.37
7/20/2026 19:07:02,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,41,26,11,0,nan,nan,0.05
7/20/2026 19:07:03,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,41,27,11,0,nan,nan,0.83
7/20/2026 19:07:04,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,41,28,11,0,nan,nan,0.90
7/20/2026 19:10:26,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,42,28,11,0,nan,nan,0.25
7/20/2026 19:10:43,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,43,28,11,0,nan,nan,0.02
7/20/2026 19:10:50,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,44,28,11,0,nan,nan,0.47
7/20/2026 19:16:43,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,45,28,11,0,nan,nan,0.27
7/20/2026 19:26:53,1.17.3,FR1,0,4.14,nan,1,RightWithPellet,Left,45,29,11,0,nan,nan,0.10
7/20/2026 19:27:02,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,46,29,11,0,nan,nan,0.46
7/20/2026 19:27:12,1.17.3,FR1,0,4.13,1,1,Pellet,Left,46,29,12,0,Timed_out,1261,nan
7/20/2026 19:27:16,1.17.3,FR1,0,4.13,nan,1,Left,Left,47,29,12,0,nan,nan,0.24
7/20/2026 19:27:17,1.17.3,FR1,0,4.13,1,1,Pellet,Left,47,29,13,0,0.71,5,nan
7/20/2026 19:34:26,1.17.3,FR1,0,4.13,nan,1,Left,Left,48,29,13,0,nan,nan,0.14
7/20/2026 19:34:34,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,48,30,13,0,nan,nan,0.06
7/20/2026 19:34:35,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,48,31,13,0,nan,nan,0.37
7/20/2026 19:34:36,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,49,31,13,0,nan,nan,0.08
7/20/2026 19:34:38,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,50,31,13,0,nan,nan,0.85
7/20/2026 19:34:39,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,51,31,13,0,nan,nan,0.37
7/20/2026 19:34:45,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,51,32,13,0,nan,nan,0.35
7/20/2026 19:37:22,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,51,33,13,0,nan,nan,0.05
7/20/2026 19:37:30,1.17.3,FR1,0,4.13,1,1,Pellet,Left,51,33,14,0,Timed_out,613,nan
7/20/2026 19:39:26,1.17.3,FR1,0,4.13,nan,1,Right,Left,51,34,14,0,nan,nan,0.07
7/20/2026 19:39:27,1.17.3,FR1,0,4.13,nan,1,Right,Left,51,35,14,0,nan,nan,0.53
7/20/2026 19:50:48,1.17.3,FR1,0,4.13,nan,1,Left,Left,52,35,14,0,nan,nan,0.39
7/20/2026 19:50:51,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,53,35,14,0,nan,nan,0.22
7/20/2026 19:51:01,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,54,35,14,0,nan,nan,0.27
7/20/2026 19:56:39,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,55,35,14,0,nan,nan,0.17
7/20/2026 19:56:41,1.17.3,FR1,0,4.13,1,1,Pellet,Left,55,35,15,0,Timed_out,1151,nan
7/20/2026 19:57:14,1.17.3,FR1,0,4.13,nan,1,Left,Left,56,35,15,0,nan,nan,0.11
7/20/2026 20:11:41,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,56,36,15,0,nan,nan,0.56
7/20/2026 20:12:04,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,56,37,15,0,nan,nan,0.38
7/20/2026 20:12:06,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,57,37,15,0,nan,nan,0.34
7/20/2026 20:12:11,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,58,37,15,0,nan,nan,0.35
7/20/2026 20:12:17,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,58,38,15,0,nan,nan,0.04
7/20/2026 20:22:33,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,59,38,15,0,nan,nan,0.29
7/20/2026 20:22:58,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,59,39,15,0,nan,nan,0.40
7/20/2026 20:23:09,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,60,39,15,0,nan,nan,0.18
7/20/2026 20:23:22,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,61,39,15,0,nan,nan,0.33
7/20/2026 20:36:25,1.17.3,FR1,0,4.12,1,1,Pellet,Left,61,39,16,0,Timed_out,2384,nan
7/20/2026 20:51:30,1.17.3,FR1,0,4.13,nan,1,Right,Left,61,40,16,0,nan,nan,0.17
7/20/2026 20:51:33,1.17.3,FR1,0,4.12,nan,1,Right,Left,61,41,16,0,nan,nan,0.33
7/20/2026 20:51:37,1.17.3,FR1,0,4.13,nan,1,Left,Left,62,41,16,0,nan,nan,0.41
7/20/2026 20:51:46,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,63,41,16,0,nan,nan,0.35
7/20/2026 21:10:10,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,64,41,16,0,nan,nan,0.19
7/20/2026 21:22:32,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,65,41,16,0,nan,nan,0.29
7/20/2026 21:30:12,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,65,42,16,0,nan,nan,0.35
7/20/2026 21:30:14,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,66,42,16,0,nan,nan,0.27
7/20/2026 21:30:16,1.17.3,FR1,0,4.12,1,1,Pellet,Left,66,42,17,0,Timed_out,3231,nan
7/20/2026 21:30:42,1.17.3,FR1,0,4.12,nan,1,Left,Left,67,42,17,0,nan,nan,0.16
7/20/2026 21:30:45,1.17.3,FR1,0,4.12,1,1,Pellet,Left,67,42,18,0,1.90,29,nan
7/20/2026 21:30:55,1.17.3,FR1,0,4.12,nan,1,Left,Left,68,42,18,0,nan,nan,0.18
7/20/2026 21:31:01,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,68,43,18,0,nan,nan,0.52
7/20/2026 21:37:45,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,69,43,18,0,nan,nan,0.17
7/20/2026 21:47:22,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,70,43,18,0,nan,nan,0.31
7/20/2026 21:47:26,1.17.3,FR1,0,4.13,nan,1,RightWithPellet,Left,70,44,18,0,nan,nan,0.08
7/20/2026 21:50:41,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,71,44,18,0,nan,nan,0.18
7/20/2026 21:54:38,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,72,44,18,0,nan,nan,0.01
7/20/2026 21:55:15,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,73,44,18,0,nan,nan,0.19
7/20/2026 22:11:28,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,74,44,18,0,nan,nan,0.13
7/20/2026 22:13:01,1.17.3,FR1,0,4.13,nan,1,LeftWithPellet,Left,75,44,18,0,nan,nan,0.15
7/20/2026 22:21:30,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,75,45,18,0,nan,nan,0.58
7/20/2026 22:38:04,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,76,45,18,0,nan,nan,0.05
7/20/2026 22:50:37,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,76,46,18,0,nan,nan,0.45
7/20/2026 22:54:13,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,77,46,18,0,nan,nan,0.26
7/20/2026 22:54:14,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,78,46,18,0,nan,nan,0.27
7/20/2026 22:54:15,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,79,46,18,0,nan,nan,0.30
7/20/2026 22:56:16,1.17.3,FR1,0,4.12,1,1,Pellet,Left,79,46,19,0,Timed_out,5131,nan
7/20/2026 23:22:41,1.17.3,FR1,0,4.12,nan,1,Left,Left,80,46,19,0,nan,nan,0.09
7/20/2026 23:22:43,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,81,46,19,0,nan,nan,0.45
7/20/2026 23:22:45,1.17.3,FR1,0,4.12,1,1,Pellet,Left,81,46,20,0,3.71,1589,nan
7/20/2026 23:33:14,1.17.3,FR1,0,4.12,nan,1,Left,Left,82,46,20,0,nan,nan,0.11
7/20/2026 23:40:59,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,82,47,20,0,nan,nan,0.10
7/20/2026 23:58:56,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,82,48,20,0,nan,nan,0.26
7/21/2026 0:02:37,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,83,48,20,0,nan,nan,0.26
7/21/2026 0:02:38,1.17.3,FR1,0,4.12,1,1,Pellet,Left,83,48,21,0,Timed_out,2393,nan
7/21/2026 0:02:57,1.17.3,FR1,0,4.12,nan,1,Left,Left,84,48,21,0,nan,nan,0.42
7/21/2026 0:03:01,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,85,48,21,0,nan,nan,0.38
7/21/2026 0:03:07,1.17.3,FR1,0,4.12,1,1,Pellet,Left,85,48,22,0,9.53,29,nan
7/21/2026 0:16:12,1.17.3,FR1,0,4.12,nan,1,Left,Left,86,48,22,0,nan,nan,0.26
7/21/2026 0:19:33,1.17.3,FR1,0,4.12,1,1,Pellet,Left,86,48,23,0,Timed_out,986,nan
7/21/2026 0:19:48,1.17.3,FR1,0,4.12,nan,1,Left,Left,87,48,23,0,nan,nan,0.13
7/21/2026 0:19:50,1.17.3,FR1,0,4.12,1,1,Pellet,Left,87,48,24,0,0.71,17,nan
7/21/2026 0:20:18,1.17.3,FR1,0,4.12,nan,1,Right,Left,87,49,24,0,nan,nan,0.07
7/21/2026 0:20:22,1.17.3,FR1,0,4.12,nan,1,Left,Left,88,49,24,0,nan,nan,0.14
7/21/2026 0:31:56,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,89,49,24,0,nan,nan,0.36
7/21/2026 0:31:57,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,90,49,24,0,nan,nan,0.21
7/21/2026 0:41:26,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,91,49,24,0,nan,nan,0.61
7/21/2026 0:41:39,1.17.3,FR1,0,4.12,1,1,Pellet,Left,91,49,25,0,Timed_out,1309,nan
7/21/2026 0:42:02,1.17.3,FR1,0,4.12,nan,1,Right,Left,91,50,25,0,nan,nan,0.05
7/21/2026 0:42:08,1.17.3,FR1,0,4.12,nan,1,Left,Left,92,50,25,0,nan,nan,0.18
7/21/2026 0:42:10,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,93,50,25,0,nan,nan,0.20
7/21/2026 0:42:13,1.17.3,FR1,0,4.11,1,1,Pellet,Left,93,50,26,0,4.13,34,nan
7/21/2026 0:46:15,1.17.3,FR1,0,4.12,nan,1,Left,Left,94,50,26,0,nan,nan,0.00
7/21/2026 0:57:39,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,95,50,26,0,nan,nan,0.18
7/21/2026 0:57:54,1.17.3,FR1,0,4.11,1,1,Pellet,Left,95,50,27,0,Timed_out,941,nan
7/21/2026 1:10:45,1.17.3,FR1,0,4.12,nan,1,Left,Left,96,50,27,0,nan,nan,0.04
7/21/2026 1:10:46,1.17.3,FR1,0,4.11,nan,1,LeftDuringDispense,Left,97,50,27,0,nan,nan,0.11
7/21/2026 1:12:51,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,98,50,27,0,nan,nan,0.33
7/21/2026 1:12:56,1.17.3,FR1,0,4.11,2,1,Pellet,Left,98,50,28,0,Timed_out,902,nan
7/21/2026 1:12:58,1.17.3,FR1,0,4.11,nan,1,Left,Left,99,50,28,0,nan,nan,0.06
7/21/2026 1:13:06,1.17.3,FR1,0,4.12,1,1,Pellet,Left,99,50,29,0,7.06,10,nan
7/21/2026 1:13:11,1.17.3,FR1,0,4.12,nan,1,Left,Left,100,50,29,0,nan,nan,0.35
7/21/2026 1:13:12,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,101,50,29,0,nan,nan,0.06
7/21/2026 1:23:15,1.17.3,FR1,0,4.11,1,1,Pellet,Left,101,50,30,0,Timed_out,609,nan
7/21/2026 1:30:22,1.17.3,FR1,0,4.12,nan,1,Left,Left,102,50,30,0,nan,nan,0.12
7/21/2026 1:30:23,1.17.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,103,50,30,0,nan,nan,0.05
7/21/2026 1:30:35,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,104,50,30,0,nan,nan,0.60
7/21/2026 1:30:39,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,105,50,30,0,nan,nan,0.38
7/21/2026 1:30:42,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,105,51,30,0,nan,nan,0.42
7/21/2026 1:30:43,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,105,52,30,0,nan,nan,0.41
7/21/2026 1:32:45,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,106,52,30,0,nan,nan,0.50
7/21/2026 1:33:03,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,106,53,30,0,nan,nan,0.20
7/21/2026 1:33:06,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,107,53,30,0,nan,nan,0.39
7/21/2026 1:33:07,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,108,53,30,0,nan,nan,0.11
7/21/2026 1:47:39,1.17.3,FR1,0,4.12,nan,1,RightWithPellet,Left,108,54,30,0,nan,nan,0.23
7/21/2026 1:47:40,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,109,54,30,0,nan,nan,0.29
7/21/2026 2:06:51,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,109,55,30,0,nan,nan,0.10
7/21/2026 2:06:54,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,110,55,30,0,nan,nan,0.14
7/21/2026 2:11:23,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,110,56,30,0,nan,nan,0.05
7/21/2026 2:11:23,1.17.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,111,56,30,0,nan,nan,0.13
7/21/2026 2:11:24,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,112,56,30,0,nan,nan,0.10
7/21/2026 2:27:38,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,113,56,30,0,nan,nan,0.60
7/21/2026 2:27:46,1.17.3,FR1,0,4.11,2,1,Pellet,Left,113,56,31,0,Timed_out,3871,nan
7/21/2026 2:27:51,1.17.3,FR1,0,4.11,nan,1,Left,Left,114,56,31,0,nan,nan,0.49
7/21/2026 2:27:52,1.17.3,FR1,0,4.11,nan,1,LeftDuringDispense,Left,115,56,31,0,nan,nan,0.41
7/21/2026 2:27:55,1.17.3,FR1,0,4.11,2,1,Pellet,Left,115,56,32,0,1.07,9,nan
7/21/2026 2:28:13,1.17.3,FR1,0,4.11,nan,1,Left,Left,116,56,32,0,nan,nan,0.49
7/21/2026 2:44:37,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,117,56,32,0,nan,nan,0.12
7/21/2026 2:44:40,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,118,56,32,0,nan,nan,0.22
7/21/2026 3:04:09,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,118,57,32,0,nan,nan,0.10
7/21/2026 3:07:53,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,119,57,32,0,nan,nan,0.31
7/21/2026 3:24:32,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,119,58,32,0,nan,nan,0.08
7/21/2026 3:33:54,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,119,59,32,0,nan,nan,0.37
7/21/2026 4:00:03,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,119,60,32,0,nan,nan,0.19
7/21/2026 4:01:20,1.17.3,FR1,0,4.11,1,1,Pellet,Left,119,60,33,0,Timed_out,5605,nan
7/21/2026 4:01:59,1.17.3,FR1,0,4.11,nan,1,Left,Left,120,60,33,0,nan,nan,0.20
7/21/2026 4:13:06,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,121,60,33,0,nan,nan,0.38
7/21/2026 4:20:50,1.17.3,FR1,0,4.11,nan,1,RightWithPellet,Left,121,61,33,0,nan,nan,0.09
7/21/2026 4:20:55,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,122,61,33,0,nan,nan,0.13
7/21/2026 4:20:59,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,123,61,33,0,nan,nan,0.17
7/21/2026 4:21:06,1.17.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,124,61,33,0,nan,nan,0.38
7/21/2026 4:21:12,1.17.3,FR1,0,4.11,1,1,Pellet,Left,124,61,34,0,Timed_out,1192,nan
7/21/2026 4:21:59,1.17.3,FR1,0,4.11,nan,1,Right,Left,124,62,34,0,nan,nan,0.98
7/21/2026 4:22:01,1.17.3,FR1,0,4.11,nan,1,Right,Left,124,63,34,0,nan,nan,0.44
7/21/2026 4:25:34,1.17.3,FR1,0,4.11,nan,1,Right,Left,124,64,34,0,nan,nan,0.06
7/21/2026 4:40:02,1.17.3,FR1,0,4.11,nan,1,Right,Left,124,65,34,0,nan,nan,0.10
7/21/2026 4:46:42,1.17.3,FR1,0,4.11,nan,1,Left,Left,125,65,34,0,nan,nan,0.22
