MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/10/2025 18:43:29,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.28
11/10/2025 18:45:28,1.17.2,Bandit80,12,4.07,4,20,20,80,Pellet,Right,0,1,1,0,Timed_out,nan,nan
11/10/2025 18:48:42,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,1,1,1,1,nan,nan,0.48
11/10/2025 18:49:16,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,2,1,1,1,nan,nan,0.08
11/10/2025 18:50:08,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,2,2,1,1,nan,nan,0.23
11/10/2025 18:50:41,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,3,2,1,1,nan,nan,0.26
11/10/2025 18:50:44,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,3,2,1,1,nan,nan,nan
11/10/2025 18:51:41,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,3,3,1,1,nan,nan,0.04
11/10/2025 18:51:42,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,3,3,1,1,nan,nan,0.00
11/10/2025 18:52:15,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,4,3,1,1,nan,nan,0.07
11/10/2025 18:53:02,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,4,4,1,1,nan,nan,0.00
11/10/2025 18:53:07,1.17.2,Bandit80,12,4.07,3,20,20,80,Pellet,Right,4,4,2,1,1.84,459,nan
11/10/2025 18:53:48,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,5,4,2,2,nan,nan,0.27
11/10/2025 18:53:59,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,6,4,2,2,nan,nan,0.24
11/10/2025 18:54:06,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,6,4,2,2,nan,nan,0.00
11/10/2025 18:54:07,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,6,4,2,2,nan,nan,0.00
11/10/2025 18:55:15,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,6,5,2,2,nan,nan,0.28
11/10/2025 18:55:19,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,6,5,3,2,3.71,132,nan
11/10/2025 18:55:44,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,7,5,3,3,nan,nan,0.20
11/10/2025 18:56:41,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,8,5,3,3,nan,nan,0.01
11/10/2025 18:56:43,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,8,5,4,3,0.95,84,nan
11/10/2025 18:57:05,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,9,5,4,4,nan,nan,0.07
11/10/2025 18:57:06,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,9,5,5,4,0.53,23,nan
11/10/2025 18:57:34,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,10,5,5,5,nan,nan,0.26
11/10/2025 18:58:16,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,11,5,5,5,nan,nan,0.33
11/10/2025 18:58:20,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,11,5,5,5,nan,nan,nan
11/10/2025 18:58:23,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,11,5,5,5,nan,nan,nan
11/10/2025 18:58:31,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,11,5,5,5,nan,nan,nan
11/10/2025 19:00:05,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,6,5,5,nan,nan,0.30
11/10/2025 19:00:07,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,6,6,5,1.55,181,nan
11/10/2025 19:00:19,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,7,6,6,nan,nan,0.08
11/10/2025 19:00:20,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,7,7,6,0.59,13,nan
11/10/2025 19:01:01,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,8,7,7,nan,nan,0.47
11/10/2025 19:01:04,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,8,8,7,2.98,44,nan
11/10/2025 19:01:15,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,9,8,8,nan,nan,0.05
11/10/2025 19:01:18,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,9,9,8,1.90,14,nan
11/10/2025 19:01:33,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,10,9,9,nan,nan,0.20
11/10/2025 19:01:35,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,10,10,9,1.07,17,nan
11/10/2025 19:01:59,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,11,10,10,nan,nan,0.12
11/10/2025 19:02:02,1.17.2,Bandit80,12,4.07,2,20,20,80,Pellet,Right,11,11,11,10,1.37,27,nan
11/10/2025 19:02:24,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,11,12,11,11,nan,nan,0.26
11/10/2025 19:02:25,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,11,12,12,11,0.53,23,nan
11/10/2025 19:07:00,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,12,12,12,12,nan,nan,0.09
11/10/2025 19:07:03,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,12,12,12,12,nan,nan,0.00
11/10/2025 19:08:08,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,13,12,12,12,nan,nan,0.21
11/10/2025 19:08:11,1.17.2,Bandit80,12,4.06,nan,20,20,80,LeftinTimeOut,Right,13,12,12,12,nan,nan,nan
11/10/2025 19:08:46,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,14,12,12,12,nan,nan,0.21
11/10/2025 19:08:48,1.17.2,Bandit80,12,4.06,nan,20,20,80,LeftinTimeOut,Right,14,12,12,12,nan,nan,nan
11/10/2025 19:08:50,1.17.2,Bandit80,12,4.06,nan,20,20,80,LeftinTimeOut,Right,14,12,12,12,nan,nan,nan
11/10/2025 19:08:51,1.17.2,Bandit80,12,4.06,nan,20,20,80,LeftinTimeOut,Right,14,12,12,12,nan,nan,nan
11/10/2025 19:08:53,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,14,12,12,12,nan,nan,nan
11/10/2025 19:09:13,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,15,12,12,12,nan,nan,0.18
11/10/2025 19:09:19,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,15,12,12,12,nan,nan,nan
11/10/2025 19:09:20,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,15,12,12,12,nan,nan,nan
11/10/2025 19:10:31,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,16,12,12,12,nan,nan,0.12
11/10/2025 19:10:34,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,16,12,13,12,2.20,489,nan
11/10/2025 19:10:46,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,17,12,13,13,nan,nan,0.08
11/10/2025 19:10:47,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,17,12,13,13,nan,nan,nan
11/10/2025 19:22:11,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,17,13,13,13,nan,nan,0.12
11/10/2025 19:22:13,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,17,13,14,13,0.89,699,nan
11/10/2025 19:23:47,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,18,13,14,14,nan,nan,0.05
11/10/2025 19:23:48,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,18,13,15,14,0.59,95,nan
11/10/2025 19:24:08,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,19,13,15,15,nan,nan,0.08
11/10/2025 19:29:25,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,19,14,15,15,nan,nan,0.27
11/10/2025 19:29:28,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,19,14,16,15,1.79,340,nan
11/10/2025 19:29:37,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,20,14,16,16,nan,nan,0.09
11/10/2025 19:29:39,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,20,14,17,16,1.07,11,nan
11/10/2025 19:33:43,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,21,14,17,17,nan,nan,0.22
11/10/2025 19:42:11,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,21,15,17,17,nan,nan,0.03
11/10/2025 19:44:51,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,22,15,17,17,nan,nan,0.00
11/10/2025 19:44:55,1.17.2,Bandit80,12,4.06,nan,20,20,80,RightinTimeout,Right,22,15,17,17,nan,nan,0.00
11/10/2025 19:44:55,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,22,15,17,17,nan,nan,0.00
11/10/2025 19:44:56,1.17.2,Bandit80,12,4.06,nan,20,20,80,RightinTimeout,Right,22,15,17,17,nan,nan,0.00
11/10/2025 19:44:57,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,22,15,17,17,nan,nan,0.00
11/10/2025 19:45:51,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,23,15,17,17,nan,nan,0.08
11/10/2025 19:46:12,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,24,15,17,17,nan,nan,0.01
11/10/2025 19:48:55,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,25,15,17,17,nan,nan,0.11
11/10/2025 19:48:56,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,25,15,17,17,nan,nan,nan
11/10/2025 19:48:58,1.17.2,Bandit80,12,4.07,nan,20,20,80,LeftinTimeOut,Right,25,15,17,17,nan,nan,nan
11/10/2025 19:49:26,1.17.2,Bandit80,12,4.06,nan,20,20,80,Left,Right,26,15,17,17,nan,nan,0.06
11/10/2025 19:50:02,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,26,16,17,17,nan,nan,0.06
11/10/2025 19:50:02,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightDuringDispense,Right,26,16,17,17,nan,nan,0.10
11/10/2025 19:50:06,1.17.2,Bandit80,12,4.07,2,20,20,80,Pellet,Right,26,16,18,17,1.31,1227,nan
11/10/2025 19:50:17,1.17.2,Bandit80,12,4.06,nan,20,20,80,Right,Right,26,17,18,18,nan,nan,0.73
11/10/2025 19:50:19,1.17.2,Bandit80,12,4.07,1,20,20,80,Pellet,Right,26,17,19,18,1.73,13,nan
11/10/2025 19:50:29,1.17.2,Bandit80,12,4.07,nan,20,20,80,Left,Right,27,17,19,19,nan,nan,0.09
11/10/2025 19:50:31,1.17.2,Bandit80,12,4.06,nan,20,20,80,RightinTimeout,Right,27,17,19,19,nan,nan,0.00
11/10/2025 19:50:32,1.17.2,Bandit80,12,4.07,nan,20,20,80,RightinTimeout,Right,27,17,19,19,nan,nan,0.00
11/10/2025 19:50:53,1.17.2,Bandit80,12,4.07,nan,20,20,80,Right,Right,27,18,19,19,nan,nan,0.08
11/10/2025 19:50:55,1.17.2,Bandit80,12,4.06,1,20,20,80,Pellet,Right,27,18,20,19,1.49,36,nan
11/10/2025 19:51:02,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,27,19,20,0,nan,nan,0.39
11/10/2025 19:51:06,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:06,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:08,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:08,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:10,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:10,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,27,19,20,0,nan,nan,0.00
11/10/2025 19:51:43,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,27,20,20,0,nan,nan,0.05
11/10/2025 19:53:29,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,28,20,20,0,nan,nan,0.13
11/10/2025 19:53:30,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,28,20,21,0,0.65,155,nan
11/10/2025 20:01:59,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,29,20,21,1,nan,nan,0.29
11/10/2025 20:02:01,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,29,20,22,1,0.53,510,nan
11/10/2025 20:02:24,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,30,20,22,2,nan,nan,0.02
11/10/2025 20:02:25,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,30,20,23,2,0.89,25,nan
11/10/2025 20:02:58,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,30,21,23,3,nan,nan,0.10
11/10/2025 20:11:45,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,31,21,23,3,nan,nan,0.52
11/10/2025 20:11:48,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,31,21,23,3,nan,nan,nan
11/10/2025 20:11:51,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,31,21,23,3,nan,nan,nan
11/10/2025 20:11:53,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,31,21,23,3,nan,nan,nan
11/10/2025 20:11:54,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,31,21,23,3,nan,nan,nan
11/10/2025 20:11:56,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,31,21,23,3,nan,nan,nan
11/10/2025 20:12:58,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,31,22,23,3,nan,nan,0.06
11/10/2025 20:12:59,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,31,22,24,3,0.65,634,nan
11/10/2025 20:13:18,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,32,22,24,4,nan,nan,0.00
11/10/2025 20:13:20,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,32,22,24,4,nan,nan,nan
11/10/2025 20:13:56,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,32,23,24,4,nan,nan,0.15
11/10/2025 20:14:10,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,32,24,24,4,nan,nan,0.12
11/10/2025 20:14:13,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,32,24,25,4,2.69,74,nan
11/10/2025 20:14:20,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,32,25,25,5,nan,nan,0.00
11/10/2025 20:17:15,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,33,25,25,5,nan,nan,0.18
11/10/2025 20:17:17,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,33,25,26,5,0.71,184,nan
11/10/2025 20:23:18,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,34,25,26,6,nan,nan,0.28
11/10/2025 20:23:20,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,34,25,27,6,0.95,363,nan
11/10/2025 20:23:27,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,35,25,27,7,nan,nan,0.09
11/10/2025 20:23:30,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,35,25,27,7,nan,nan,nan
11/10/2025 20:24:40,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,35,26,27,7,nan,nan,0.28
11/10/2025 20:24:41,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,35,26,27,7,nan,nan,0.00
11/10/2025 20:24:41,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,35,26,27,7,nan,nan,0.00
11/10/2025 20:24:42,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,35,26,27,7,nan,nan,0.00
11/10/2025 20:24:43,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,35,26,27,7,nan,nan,0.00
11/10/2025 20:24:43,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,35,26,27,7,nan,nan,0.00
11/10/2025 20:24:45,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,35,26,27,7,nan,nan,nan
11/10/2025 20:24:47,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,35,26,27,7,nan,nan,nan
11/10/2025 20:35:47,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,35,27,27,7,nan,nan,0.31
11/10/2025 20:35:51,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,35,27,27,7,nan,nan,nan
11/10/2025 20:37:21,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,36,27,27,7,nan,nan,0.17
11/10/2025 20:37:22,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,36,27,28,7,0.65,842,nan
11/10/2025 20:37:38,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,37,27,28,8,nan,nan,0.24
11/10/2025 20:37:39,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,37,27,29,8,0.41,17,nan
11/10/2025 20:37:48,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,38,27,29,9,nan,nan,0.07
11/10/2025 20:37:49,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,38,27,29,9,nan,nan,nan
11/10/2025 20:37:51,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,38,27,29,9,nan,nan,nan
11/10/2025 20:37:55,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,38,27,29,9,nan,nan,nan
11/10/2025 20:39:24,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,38,28,29,9,nan,nan,0.29
11/10/2025 20:39:27,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,38,28,29,9,nan,nan,nan
11/10/2025 20:41:05,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,38,29,29,9,nan,nan,0.31
11/10/2025 20:41:08,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,38,29,29,9,nan,nan,0.00
11/10/2025 20:44:19,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,39,29,29,9,nan,nan,0.13
11/10/2025 20:44:20,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,39,29,30,9,0.35,401,nan
11/10/2025 20:44:38,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,40,29,30,10,nan,nan,0.09
11/10/2025 20:44:40,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,40,29,30,10,nan,nan,nan
11/10/2025 20:47:16,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,40,30,30,10,nan,nan,0.13
11/10/2025 20:47:19,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,40,30,30,10,nan,nan,nan
11/10/2025 20:47:20,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,40,30,30,10,nan,nan,nan
11/10/2025 20:53:45,1.17.2,Bandit80,12,4.05,nan,20,80,20,Left,Left,41,30,30,10,nan,nan,0.16
11/10/2025 20:53:49,1.17.2,Bandit80,12,4.06,2,20,80,20,Pellet,Left,41,30,31,10,0.95,569,nan
11/10/2025 20:54:00,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,42,30,31,11,nan,nan,0.06
11/10/2025 20:54:01,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,42,30,32,11,0.65,12,nan
11/10/2025 20:57:29,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,42,31,32,12,nan,nan,0.15
11/10/2025 20:57:32,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,42,31,32,12,nan,nan,0.00
11/10/2025 20:57:39,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,42,31,32,12,nan,nan,nan
11/10/2025 20:58:08,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,42,32,32,12,nan,nan,0.05
11/10/2025 21:01:44,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,42,33,32,12,nan,nan,0.04
11/10/2025 21:01:45,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,42,33,32,12,nan,nan,0.00
11/10/2025 21:07:00,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,43,33,32,12,nan,nan,0.24
11/10/2025 21:07:02,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,43,33,33,12,0.35,781,nan
11/10/2025 21:07:17,1.17.2,Bandit80,12,4.07,nan,20,80,20,Left,Left,44,33,33,13,nan,nan,0.07
11/10/2025 21:07:18,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,44,33,34,13,0.41,16,nan
11/10/2025 21:07:31,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,45,33,34,14,nan,nan,0.11
11/10/2025 21:07:33,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:35,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:37,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:39,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:41,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:47,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:52,1.17.2,Bandit80,12,4.05,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:53,1.17.2,Bandit80,12,4.07,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:07:55,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,45,33,34,14,nan,nan,nan
11/10/2025 21:08:02,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,45,33,34,14,nan,nan,0.00
11/10/2025 21:17:17,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,46,33,34,14,nan,nan,0.06
11/10/2025 21:17:22,1.17.2,Bandit80,12,4.07,1,20,80,20,Pellet,Left,46,33,35,14,4.07,604,nan
11/10/2025 21:18:54,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,46,34,35,15,nan,nan,0.32
11/10/2025 21:18:55,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,46,34,35,15,nan,nan,0.00
11/10/2025 21:18:57,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,46,34,35,15,nan,nan,0.00
11/10/2025 21:20:19,1.17.2,Bandit80,12,4.06,nan,20,80,20,Left,Left,47,34,35,15,nan,nan,0.06
11/10/2025 21:20:21,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,47,34,36,15,0.29,179,nan
11/10/2025 21:23:57,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,47,35,36,16,nan,nan,0.06
11/10/2025 21:23:58,1.17.2,Bandit80,12,4.07,nan,20,80,20,RightinTimeout,Left,47,35,36,16,nan,nan,0.00
11/10/2025 21:23:59,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,35,36,16,nan,nan,0.00
11/10/2025 21:24:04,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,35,36,16,nan,nan,nan
11/10/2025 21:24:06,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,35,36,16,nan,nan,nan
11/10/2025 21:29:35,1.17.2,Bandit80,12,4.07,nan,20,80,20,Right,Left,47,36,36,16,nan,nan,0.22
11/10/2025 21:29:36,1.17.2,Bandit80,12,4.06,1,20,80,20,Pellet,Left,47,36,37,16,0.83,555,nan
11/10/2025 21:29:45,1.17.2,Bandit80,12,4.06,nan,20,80,20,Right,Left,47,37,37,17,nan,nan,0.38
11/10/2025 21:29:47,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:48,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:54,1.17.2,Bandit80,12,4.05,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:55,1.17.2,Bandit80,12,4.05,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:55,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:56,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:57,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:58,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:58,1.17.2,Bandit80,12,4.06,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:29:59,1.17.2,Bandit80,12,4.05,nan,20,80,20,RightinTimeout,Left,47,37,37,17,nan,nan,0.00
11/10/2025 21:30:05,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,37,37,17,nan,nan,nan
11/10/2025 21:30:05,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,37,37,17,nan,nan,nan
11/10/2025 21:30:07,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,37,37,17,nan,nan,nan
11/10/2025 21:30:08,1.17.2,Bandit80,12,4.06,nan,20,80,20,LeftinTimeOut,Left,47,37,37,17,nan,nan,nan
